,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1995,,,,57.63333333333334,75.44788786482334,,91.66666666666667,,73.55744735127163,80.0,,,,80.57142857142857,89.5,69.66666666666667,54.0,79.94444444444444,57.5,45.0,,,79.0,5.0,,,81.0,,84.5,,80.16071428571428,68.5,,78.37773892773893,80.66666666666667,,90.0,87.55555555555556,85.4,,,,78.63333333333333,90.0,77.63888888888887,,87.48538961038962,82.20833333333333,,
1996,,,75.0,70.0,80.26161616161616,77.5,,,68.21228632478633,,,,,74.25,,83.6,58.25,91.38,90.5,58.333333333333336,,58.5,,,,,92.16666666666667,,,,70.1549019607843,80.0,84.0,66.0048826173826,77.5,75.5,82.0,59.8,,,,,76.58,,51.5,,80.09523809523809,88.25,,
1997,,,,51.333333333333336,68.74983896392564,81.0,83.80357142857143,,75.56267217630854,96.75,,,,72.89285714285714,61.0,,,79.25,71.66666666666667,80.2,,90.66666666666667,97.0,,93.0,,80.0,,,88.0,77.60000000000001,,,73.61123511904762,79.5,,,69.58333333333334,91.66666666666667,,,,71.50925925925927,80.0,63.125,,79.26041666666667,81.0,,
1998,,,,51.3,78.86877104377105,61.4,21.5,,72.60094164456234,,,75.0,,75.27083333333333,,95.57142857142857,,86.56349206349206,79.08333333333333,68.54166666666666,,83.33333333333334,59.333333333333336,83.0,,,92.0,,,75.0,81.79166666666667,,48.0,71.38273809523808,81.46000000000001,,84.75,87.67857142857143,85.0,83.75,,81.0,87.0,75.0,87.1,,88.75,,,
1999,,53.0,,71.91666666666667,71.46950929956469,,80.0,,74.85051638176637,59.5,,,,78.30625,81.5,77.3,,,86.83333333333333,85.66666666666667,,82.5,69.0,,,,74.0,,,,77.45833333333333,80.0,60.0,73.96998117623119,84.57142857142857,88.0,76.55555555555556,80.0,64.33333333333333,,,25.0,75.88095238095238,9.0,71.875,,71.22222222222221,90.0,90.0,
2000,,,78.5,65.94444444444444,72.1328125,82.83333333333333,85.625,,70.45416666666667,80.1111111111111,,76.5,,71.90757575757576,84.75,55.75,,72.375,81.8311403508772,75.44246031746032,,73.25,84.33333333333333,,95.0,,61.916666666666664,,,91.0,70.44880174291939,50.0,70.0,81.95601851851852,90.83333333333333,,73.75,64.35238095238095,76.73333333333333,78.46666666666667,,78.33333333333333,68.74603174603173,,67.46527777777779,,77.1595238095238,78.5,,
2001,,80.0,78.0,76.0,75.53528326876743,77.45833333333333,95.0,,69.87693246924017,91.41666666666666,,90.0,,87.41666666666667,75.86666666666666,83.0,95.0,79.8,74.28,90.0,,75.25,90.0,,,89.0,75.0,,,,86.47857142857144,73.33333333333333,,73.5078125,69.46000000000001,,77.25,84.3125,71.0,,,72.22222222222223,76.62333333333333,,79.31333333333333,,79.76,86.25,83.0,
2002,91.0,39.0,76.0,64.125,70.43939219695034,78.93333333333334,79.0,,63.91746031746032,71.5125,80.0,,,66.41071428571429,86.75,87.26666666666667,83.25,71.63055555555556,81.59813725490196,85.26666666666667,90.0,73.66666666666667,65.08333333333333,83.0,42.0,85.0,86.5,,,,77.01549019607843,,41.0,79.53706140350877,84.69285714285715,,62.10294117647059,75.0,,79.75,,87.5,70.02777777777777,,79.72222222222223,,90.35416666666667,87.0,,
2003,,,65.66666666666667,85.125,75.08634476356629,68.25,,,73.24472789115647,83.04444444444444,,,,80.8375,78.79761904761905,80.0,,66.20833333333333,76.72444444444446,79.95833333333333,90.0,82.05833333333334,75.26666666666668,98.0,,,75.38333333333334,,,,65.33333333333334,,80.5,73.16945028011206,71.86931818181819,82.5,74.6047619047619,78.07323232323232,42.125,,,74.33333333333333,72.5,86.0,79.30416666666666,,76.8094362745098,75.94444444444444,,39.0
2004,,89.375,82.66666666666667,73.125,77.52475722475722,84.99166666666666,84.24285714285715,69.5,66.11796112384349,87.44000000000001,,88.0,,84.7638888888889,78.66666666666667,,,93.0,70.27125506072875,77.2,51.666666666666664,87.75,67.81666666666666,,,,69.625,,,,79.36964285714286,75.0,15.0,76.65762362637362,84.625,,82.07352941176471,77.29166666666667,81.5,89.125,93.0,71.04166666666666,70.58080808080808,77.0,80.71228673287496,,78.58333333333333,87.0,92.5,
2005,,86.5,86.5,54.38937198067632,74.94101253152976,85.79166666666667,85.0,,70.46924759208497,70.69090909090909,,,80.0,79.33157894736841,60.825,77.31349206349206,87.0,82.17777777777776,78.74166666666667,70.6,92.0,83.77380952380953,87.5,,62.0,,91.85858585858585,,,,79.6925925925926,74.0,79.5,76.82969696969698,64.55952380952381,60.0,75.72857142857143,80.29473684210525,90.0,79.22727272727273,87.0,83.0,71.71858974358975,,72.2,,85.12727272727274,87.0,,61.5
2006,,75.5,,73.0,75.9547776212758,72.3,88.0,60.0,76.61038011695906,77.73544973544973,,67.5,,74.94791666666667,67.75,88.375,72.5,78.33333333333334,73.68298611111112,65.13333333333334,92.2,60.958333333333336,77.875,79.66666666666667,,,80.225,76.25,73.7,,70.45833333333333,95.0,76.30555555555556,72.76103063603064,73.12820512820512,85.5,83.2,84.78571428571429,,42.0,,80.86,80.41186868686869,73.16666666666667,81.94216524216525,81.0,80.66930618401207,90.0,,77.0
2007,,81.0,77.66666666666667,75.04444444444444,74.3051622696565,87.6,76.5,83.5,76.16206140350879,74.53703703703702,56.25,78.0,35.0,71.1790293040293,76.57142857142857,76.91666666666667,80.0,82.59821428571428,80.35897435897435,82.07142857142857,40.0,79.1875,73.25,81.0,60.75,76.75,75.62575757575758,86.0,,91.0,69.96208133971292,82.5,46.5,70.92848969893505,80.32539682539684,80.0,86.07142857142857,75.82333333333334,71.23484848484848,71.82456140350877,75.0,66.2930283224401,65.01590076590075,86.5,82.08626373626375,,74.53650793650793,82.26666666666667,,79.0
2008,,73.91666666666666,81.0,71.678125,69.72915359327632,74.46969696969698,95.0,,69.93292824074075,73.7987012987013,,82.5,90.0,72.95179487179487,62.875,89.94444444444444,71.8125,74.78703703703704,65.55522486772487,74.625,88.125,75.87037037037038,87.34375,62.41428571428571,79.85714285714286,78.33333333333333,67.70178571428572,60.0,80.0,70.0,75.15972222222223,76.0,85.0,64.88888888888889,76.01666666666667,,77.51767676767676,82.04761904761904,84.0,60.333333333333336,,81.00595238095238,81.03571428571429,79.5,72.9546130952381,78.0,71.2251893939394,85.83333333333333,63.0,
2009,,82.5,,77.39423076923077,74.05458891871936,88.01071428571429,,,66.83333333333333,77.42424242424241,,84.0,94.0,82.12941176470588,81.44444444444444,69.5,67.45833333333334,78.77777777777779,79.4748538011696,80.3809523809524,75.0,83.72857142857143,61.666666666666664,80.0,,90.0,74.42857142857143,81.75,,62.0,73.25457875457874,67.0,69.41071428571428,71.73582062454612,73.24950396825398,73.625,83.495,75.62592592592594,78.0,67.26666666666667,,69.35833333333333,77.78235294117647,91.5,72.90968253968254,,76.41559829059828,80.25,,
2010,,90.0,63.5,67.76388888888889,72.57010779075998,76.52777777777779,64.0,,75.50847288676236,77.01819727891156,,77.0,84.0,81.73015873015875,65.45238095238095,77.66666666666667,69.1,61.5,74.58214285714287,78.75,,76.24074074074073,48.875,77.67857142857143,,85.83333333333334,72.95,,,,72.95384615384616,,70.0,74.60972514005603,82.11666666666666,70.5,78.83333333333333,81.0,77.25,50.0,,75.275,74.82230576441103,,81.80303030303031,89.5,76.36666666666666,91.0,89.0,90.0
