,Andorra,Argentina,Australia,Austria,Belarus,Belgium,Botswana,Brazil,Canada,Chile,China,Colombia,Croatia,Czechia,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,International,Iraq,Ireland,Israel,Italy,Japan,Jordan,"Korea, South",Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Malta,Mexico,Monaco,Netherlands,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tunisia,Turkey,Ukraine,United Kingdom,United States,Unknown
1991,,91.5,69.25,91.8,,,,88.14215686274511,82.20555555555555,,,,,89.58333333333333,87.16666666666667,,,72.80952380952381,89.75,79.95100732600733,,92.0,,,,,,,,92.0,74.22916666666667,,,,,,,,,,,80.53939393939393,,81.06666666666666,,,70.0,,,,,,,,,,85.8248558897243,84.22222222222221,,,,83.33581529581531,83.05959383891837,
1992,,95.5,90.6,,,78.66666666666667,,69.58333333333333,64.66666666666667,,,,,83.66666666666667,79.0,,,86.41468253968253,83.5,81.03753142282554,75.0,55.0,,,,80.0,,,,,90.08333333333334,,,,,,,,,,,85.15972222222221,,84.12431077694235,,,78.72222222222223,,,,,,,,,,84.58027472527472,83.62857142857143,,,,77.42181750541125,80.51722092788914,
1993,,,81.08730158730158,,,,,76.95370370370371,79.12264957264956,,,,,90.33333333333333,80.46875,,,85.3418911335578,77.0,78.8976455026455,85.5611111111111,,,,,74.5,,,,87.0,87.45555555555555,,,,,,,,,87.375,,76.92291666666667,,89.1968671679198,,,80.0,,,,,,,,,,85.26916755272018,80.66666666666667,,,,77.4829032079032,79.60640786002585,
1994,,82.5,71.75,66.625,,84.83333333333334,,78.0,80.2375,,,,,,86.43333333333334,,,84.52689594356261,67.66666666666667,77.13670634920635,87.33928571428571,,,,,,,,81.4,76.83333333333333,80.125,,,,,,,,,80.0,,67.03333333333333,,88.63250339325708,,,87.92857142857143,,,,,,,,,30.0,84.65588972431077,71.375,,,,82.09008838383838,77.38399473568728,
1995,,,73.05555555555556,80.00535714285715,,81.16666666666667,,56.958333333333336,73.06666666666666,,,,,71.63888888888889,72.33928571428572,,,86.61734693877551,76.20833333333333,75.76785714285715,86.5904761904762,,,,,,,82.6,,86.41666666666666,72.2,,,,,,,,,82.8,,86.2388888888889,,83.6095778662342,,,80.64999999999999,95.54545454545455,,75.66666666666667,,,,,,75.0,79.4011212121212,50.0,,,,71.3774021117771,77.71124330559732,
1996,,,74.0,76.25,,76.91666666666666,,70.13761904761904,73.34863945578232,,,,,83.94444444444444,82.36363636363636,,,80.70833333333333,83.24999999999999,76.1574481074481,80.63333333333334,90.0,,,,95.4,,,82.33333333333334,77.0,86.71111111111111,,,,,,,,,,,72.26666666666667,,81.01320257492716,,,70.98015873015873,94.6,88.0,88.04166666666666,,,86.5,,,82.25,80.2401172357055,93.66666666666667,,,,75.82504946034358,74.14992606616647,
1997,,74.0,83.33333333333333,86.39393939393939,,70.52222222222223,,,79.9064935064935,,,,,89.0,95.02083333333333,,,79.95535345717235,75.625,77.70328282828282,78.64583333333334,,,,,,,,,86.12345679012347,85.55555555555554,,,,,,,83.0,95.0,,,88.05079365079365,,83.77125725061101,,,70.875,,,81.11666666666666,,,,,,77.5,80.0602157943067,,,,89.63636363636364,83.0182581453634,73.70251343484101,
1998,,,38.5,75.66666666666667,,90.66666666666667,,67.8,82.06631388253243,,,83.0,77.0,83.94444444444444,86.375,,,86.89732142857143,69.43333333333332,76.938683127572,79.39583333333333,88.2,,,83.33333333333333,,,94.0,,83.50357142857143,84.29166666666666,,90.0,,96.0,,,,89.66666666666667,89.85714285714286,83.0,75.9361111111111,,81.32709750566895,,,82.32857142857142,77.75,,77.875,,,80.0,,,84.83333333333333,81.54920072327734,,,,75.14583333333334,79.69023060273061,80.13892614052615,
1999,,90.0,61.0,88.77777777777777,,73.28333333333333,,87.0,73.89494949494949,,,88.0,74.0,96.25,81.69047619047618,,,81.58272569444443,63.090909090909086,83.63082611832611,68.50892857142857,83.5,,,92.5,,,,,79.95357142857142,86.96111111111111,,,,,,,,,,,87.6,,81.27680061484409,,,68.75757575757575,68.4,,98.0,,,82.0,,,82.33333333333333,82.04233707415773,70.90476190476191,,92.5,79.28125,82.33714285714285,76.03123842247219,
2000,,,90.31212121212123,92.25,,,,88.625,80.6093253968254,,,,82.66666666666667,79.46195652173913,88.63636363636363,,,82.23662644544999,69.9047619047619,79.12074314574313,78.65625,68.83333333333334,,,,,,93.29166666666666,,78.97,85.42333333333333,,,,83.8,,,,,78.22222222222221,82.0,85.35959595959596,,78.30172413793105,,,85.66667863726687,,86.33333333333333,82.75,,,,,,87.475,82.45418565352774,92.0,,,75.33333333333333,76.3636507936508,75.11655124505126,
