,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1992,,,79.8597391654396,76.68237128471851,78.96240512943773,74.91162656781114,,,78.39867013604679,,,,,80.15094880301265,78.10385853512314,80.2705448220155,79.39848881810403,79.90252693301412,,78.31843461619097,,79.96571969737285,,,,,,,,,78.87646853232125,,79.795968107466,79.28567911855654,75.64123435789361,79.82029704910333,79.6796943054369,78.46817676729363,85.2609531508624,,,68.8532830431215,74.47025965679481,,73.21196809678095,,79.65928025741292,76.76301452337361,,
1993,77.85185863777326,,,72.01593453392229,78.90789207781819,73.16544426235811,,,80.58466187584837,,,,,77.75961449955591,,76.86763943210822,75.5319133672771,77.08620495378004,77.37380930930739,79.10677250096086,,79.04698195893795,79.39848881810403,82.19046609874512,,,76.86763943210822,,,,77.80387635247443,79.96089979276977,71.70659190028417,77.4632753363915,79.65442599207707,,75.77452051676069,82.334672621763,,78.55487235610543,,,77.57757158043917,,77.9924613814397,,79.55790862799168,80.07922424422915,,81.32169590286503
1994,,,75.18040650811102,77.23810026310542,77.11275326304848,58.350201444062996,79.5250200250794,75.77452051676069,75.89894332737168,,,,,78.76091887001623,75.88342022644319,,,84.76091327631505,75.52490885934586,78.50278437612879,,77.92216000960647,82.82278772909862,,,,78.41536596066203,,,,80.73674477349873,,,76.83154747535421,79.22519497096624,79.11728333077116,80.1015025364362,79.22609631255895,,,,,78.19500323252376,76.58643394477535,77.3356607593597,,80.29034976175696,77.9924613814397,,
1995,,,,69.25459558940835,77.83909746340689,,82.27407503212473,,76.38324996733496,77.9924613814397,,,,78.6330212537446,82.34586181739851,76.5395663635532,74.33679004611243,80.40352679200412,72.6927564133694,73.0713653531145,,,77.85185863777326,67.44725560645716,,,78.48647292774503,,80.3680600210534,,79.63358868110497,76.3755298292757,,77.84796279331279,78.08619654388399,,79.39848881810403,79.99808428328426,81.14485592423345,,,,77.96582822512826,79.39848881810403,77.70576645383643,,80.62317675541172,78.96730159435107,,
1996,,,77.28944766310752,73.50649901295033,78.23328182827129,77.62357897879548,,,72.30349504676478,,,,,78.52384243878994,,80.33493797465641,73.01877301206802,82.8342299147209,79.46879018993724,68.0882372955495,,74.96950239261136,,,,,84.84814748126354,,,,78.05275704219642,77.9924613814397,78.55487235610543,74.34673243390351,77.6409545222736,76.9537923209334,78.27366686877257,75.61766066278709,,,,,78.19438936876861,,75.62028213176448,,77.76668478696742,80.27389610771199,,
1997,,,,68.99522776535653,74.4711990154015,80.04114283596368,79.11915624548574,,76.65074777087773,85.2136744220989,,,,76.57460288193444,72.17776140780511,,,78.29136813489104,76.3854346168145,78.80509295878872,,79.49222398054833,80.38270802376907,,79.82029704910333,,77.99246138143968,,,79.11728333077116,77.07628099042167,,,76.65913246673713,77.92216000960647,,,75.38050649776193,84.60046407950422,,,,76.72920199644543,77.9924613814397,75.8372933886318,,76.22434572729784,79.16505649193405,,
1998,,,,67.45087584985599,77.92976510586793,70.74821256088877,63.81727579560245,,77.07503201391107,,,77.28944766310752,,77.60894308657227,,84.15889708369849,,81.64508225011839,76.97785973745853,77.27017441034809,,79.59930735016445,75.08667134566673,78.41426961243899,,,79.6796943054369,,,77.28944766310752,80.06542370841568,,73.4931735841138,76.5114662272333,78.69851483696681,,80.46695011087066,79.9719929976951,78.69547509977185,81.69619636168302,,78.13306412510612,79.39501512845115,77.28944766310752,79.09320413738061,,82.04919154794673,,,
1999,,74.19618730244598,,75.41847017765379,75.68163365703614,,77.9924613814397,,76.33387813401924,75.11010513627781,,,,78.93607040626435,78.20336549693934,77.43809065227693,,,79.51464304809157,78.48325965800963,,78.73254941113498,77.05801326347795,,,,77.88834914300396,,,,77.89352527304803,77.9924613814397,75.18040650811102,78.348132866685,78.63521678105768,79.11728333077116,79.15837748217427,78.32796117991353,73.2751868017529,,,70.25931047978584,78.21152450437351,68.0096665811229,75.73014471071006,,75.87406265257849,79.39848881810403,79.39848881810403,
2000,,,77.78155726594005,73.90012325041171,76.70943575783355,76.61748578124616,79.49544645136915,,75.12999526504179,78.11304219368792,,77.30627183380959,,76.92566330153501,79.55211291125758,68.99569969206905,,76.07545736776267,76.87623284371739,78.6972002863602,,76.71688993613759,78.60173993732758,,80.1015025364362,,74.25646778473967,,,79.53909156177046,77.30186451590367,73.77437907144669,76.58643394477535,79.40977856614305,79.5156577711594,,77.15797565408785,76.7319568647139,78.82583500421873,78.23428988693763,,78.15261926983983,74.5921748240436,,75.02879967179202,,77.24812698658312,77.78155726594004,,
2001,,78.71510207550239,77.71125589410683,76.91528440977568,74.99671006440255,78.25675549046159,80.1015025364362,,73.91267015166615,81.45437065383578,,79.39848881810403,,79.40908576064048,76.63822645926204,78.97955518428765,80.1015025364362,80.73860422730664,79.12937475671907,79.39848881810403,,77.84560250030941,79.39848881810403,,,82.14808163776401,77.28944766310752,,,,80.75853527985414,77.0551097569968,,77.28896345992989,75.82795445105455,,77.7030544492228,78.75999555357676,76.7270366884418,,,75.25652489758313,77.53591444611257,,79.65522717071374,,78.2764817985208,80.61595541564087,78.41426961243899,
