,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1973,0.0,0.0,0.0,0.0,0.050617248237336585,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140447036920387,0.0,0.0,0.0,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.11715749212203734,0.0,0.13132160885254723,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.050617248237336585,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05140447036920387,0.0,0.0,0.0,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.11715749212203734,0.0,0.13132160885254723,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.07592587235600488,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10013160296577793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280894073840774,0.0,0.0,0.0,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13132160885254723,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.10123449647467317,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07891525614195466,0.0,0.0,0.0,0.21510955314432087,0.0,0.16540736525916025,0.0,0.10013160296577793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280894073840774,0.0,0.0,0.0,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26264321770509447,0.0,0.5579899416733114,0.0
1977,0.0,0.0,0.0,0.0,0.12654312059334144,0.1736492174671664,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07891525614195466,0.0,0.3432517057893519,0.0,0.21510955314432087,0.0,0.16540736525916025,0.0,0.10013160296577793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10280894073840774,0.08554978569778682,0.0,0.0,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939648265576417,0.0,0.5579899416733114,0.0
1978,0.0,0.0,0.0,0.0,0.2530862411866829,0.1736492174671664,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07891525614195466,0.0,0.3432517057893519,0.0,0.21510955314432087,0.0,0.16540736525916025,0.0,0.10013160296577793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11258484675513583,0.0,0.0,0.20561788147681548,0.17109957139557364,0.0,0.0,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939648265576417,0.0,0.5579899416733114,0.0
1979,0.0,0.0,0.0,0.1373868499077516,0.3543207376613561,0.1736492174671664,0.0,,0.0,0.09311968015997216,0.0,0.0,0.0,0.0,0.23674576842586398,0.0,0.3432517057893519,0.0,0.6453286594329627,0.1450851744279255,0.4962220957774808,0.0,0.20026320593155586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22516969351027166,0.0,0.0,0.3084268222152232,0.17109957139557364,0.0,0.47418793537861653,0.07811286199355429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939648265576417,0.0,0.5579899416733114,0.0
1980,0.0,0.0,0.0,0.1373868499077516,0.4808638582546975,0.1736492174671664,0.0,,0.0,0.13967952023995825,0.0,0.7062785336527596,0.0,0.0,0.23674576842586398,0.0,0.3432517057893519,0.0,0.6453286594329627,0.290170348855851,0.4962220957774808,0.0,0.3003948088973338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22516969351027166,0.0,0.0,0.6168536444304464,0.17109957139557364,0.0,0.7112819030679248,0.07811286199355429,0.0,0.0,0.0,0.0,0.03448765705722134,0.0,0.0,0.0,0.26264321770509447,0.0,0.5579899416733114,0.0
1981,0.0,0.0,0.0,0.2747736998155032,0.8351845959160537,0.3472984349343328,0.0,,0.0,0.1862393603199443,0.0,1.4125570673055192,0.0,0.0,0.47349153685172796,0.0,0.3432517057893519,0.223830168412057,0.6453286594329627,0.4352555232837766,0.8270368262958013,0.0,0.4005264118631117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22516969351027166,0.0,0.0,0.7196625851688542,0.34219914279114727,0.0,0.9483758707572331,0.0,0.0,0.1942232565258043,0.0,0.0,0.103462971171664,0.0,0.0,0.0,0.6566080442627362,0.0,0.5579899416733114,0.0
1982,0.0,0.0,0.0,0.2747736998155032,1.1388880853400731,0.3472984349343328,0.8414469858948243,,0.0,0.1862393603199443,0.0,2.118835600958279,0.0,0.0,0.6313220491356373,0.0,0.3432517057893519,0.223830168412057,0.6453286594329627,0.7254258721396277,0.8270368262958013,0.0,0.4005264118631117,0.0,0.0,0.0,0.0,0.09534629966731768,0.0,0.0,0.0,0.3377545402654075,0.0,0.0,0.8738759962764658,0.5132987141867209,0.0,0.9483758707572331,0.15622572398710857,0.0,0.1942232565258043,0.0,0.0,0.206925942343328,0.0,0.0,0.0,1.0505728708203779,0.0,0.5579899416733114,0.0
