,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1981,0.0,0.0,0.0,0.0,0.10123449647467317,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542134111076116,0.08554978569778682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.050617248237336585,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432517057893519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084268222152232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.2530862411866829,0.0,0.0,,0.0,0.04655984007998608,0.0,1.4125570673055192,0.0,0.0,0.07891525614195466,0.0,0.3432517057893519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084268222152232,0.0,0.0,0.23709396768930827,0.0,0.0,0.0,0.0,0.0,0.03448765705722134,0.0,0.0,0.0,0.13132160885254723,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.1373868499077516,0.4049379858986927,0.1736492174671664,0.28048232863160805,,0.0,0.0,0.0,0.7062785336527596,0.0,0.0,0.23674576842586398,0.0,0.6865034115787038,0.0,0.0,0.0,0.16540736525916025,0.0,0.0,0.0,0.0,0.0,0.0,0.09534629966731768,0.0,0.0,0.0,0.11258484675513583,0.0,0.0,0.3598312925844271,0.17109957139557364,0.0,0.23709396768930827,0.0,0.0,0.1942232565258043,0.0,0.0,0.103462971171664,0.0,0.0,0.0,0.3939648265576417,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.1373868499077516,0.6580242270853757,0.0,0.5609646572632161,,0.0,0.09311968015997216,0.09418481301912902,0.7062785336527596,0.0,0.0,0.31566102456781864,0.0,0.3432517057893519,0.0,0.0,0.1450851744279255,0.0,0.0,0.20026320593155586,0.0,0.0,0.0,0.0,0.09534629966731768,0.0,0.0,0.0,0.3377545402654075,0.0,0.0,0.5140447036920387,0.34219914279114727,0.0,0.23709396768930827,0.23433858598066284,0.0,0.0,0.0,0.0,0.13795062822888535,0.0,0.0,0.0,0.5252864354101889,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.1373868499077516,0.9111104682720585,0.1736492174671664,0.8414469858948243,,1.0269428732218484,0.1862393603199443,0.09418481301912902,0.0,0.0,0.0,0.31566102456781864,0.0,0.3432517057893519,0.223830168412057,0.0,0.580340697711702,0.16540736525916025,0.0,0.3003948088973338,0.17731653412846796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22516969351027166,0.0,0.0,0.7196625851688542,0.25664935709336045,0.2527185566939965,0.47418793537861653,0.31245144797421714,0.0,0.0,0.0,0.0,0.06897531411444267,0.0,0.11715749212203734,0.0,1.0505728708203779,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.1373868499077516,0.683332851204044,0.0,1.4024116431580405,,0.0,0.2327992003999304,0.09418481301912902,0.0,0.0,0.0,0.23674576842586398,0.0,0.3432517057893519,0.0,0.0,0.1450851744279255,0.16540736525916025,0.0,0.20026320593155586,0.17731653412846796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5629242337756791,0.0,0.6493177618276477,0.9252804666456697,0.42774892848893414,0.0,0.7112819030679248,0.07811286199355429,0.0,0.0,0.0,0.1464305932166906,0.103462971171664,0.0,0.0,0.0,0.7879296531152834,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.2747736998155032,0.8351845959160537,0.1736492174671664,1.1219293145264322,,1.0269428732218484,0.1862393603199443,0.09418481301912902,0.0,0.0,0.0,0.3945762807097733,0.0,0.3432517057893519,0.223830168412057,0.21510955314432087,0.580340697711702,0.0,0.0,0.4005264118631117,0.17731653412846796,0.16293470163723306,0.0,0.0,0.0,0.0,0.0,0.0,0.788093927285951,0.0,0.6493177618276477,0.8224715259072619,0.17109957139557364,0.0,0.9483758707572331,0.07811286199355429,0.0,0.0,0.0,0.0,0.2759012564577707,0.31191924535505455,0.23431498424407468,0.0,1.1818944796729252,0.34349895593492347,0.0,0.0
1989,0.0,0.20394906576031702,0.0,0.1373868499077516,0.7086414753227122,0.1736492174671664,0.5609646572632161,,0.0,0.4190385607198747,0.0,0.0,0.0,0.0,0.31566102456781864,0.0,0.3432517057893519,0.223830168412057,0.0,0.0,0.16540736525916025,0.0,0.3003948088973338,0.17731653412846796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5629242337756791,0.0,0.6493177618276477,0.5654491740612426,0.34219914279114727,0.2527185566939965,0.23709396768930827,0.23433858598066284,0.0,0.0,0.0,0.1464305932166906,0.2759012564577707,0.0,0.23431498424407468,0.0,0.9192512619678307,0.34349895593492347,0.0,0.0
1990,0.0,0.0,0.0,0.5495473996310064,0.683332851204044,0.0,0.0,,0.0,0.32591888055990254,0.0,0.0,0.0,0.0,0.3945762807097733,0.0,0.3432517057893519,0.223830168412057,0.6453286594329627,0.1450851744279255,0.3308147305183205,0.0,0.0,0.3546330682569359,0.3258694032744661,0.0,0.0,0.0,0.0,0.0,0.0,0.3377545402654075,0.0,0.9739766427414716,0.8224715259072619,0.34219914279114727,0.0,0.23709396768930827,0.15622572398710857,0.0,0.0,0.0,0.1464305932166906,0.17243828528610666,0.0,0.11715749212203734,0.0,0.9192512619678307,0.34349895593492347,1.1159798833466228,0.0
