id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
148,Deicide,Death Metal,175,71.92,111,2.331e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,21348,2779,192.3,25.04,210,0.9157,0.1192,1889,21348,2779,0.1302,0.7955,349.5,5.857,92.51,4.527
31,Samael,Black Metal (early); Electronic/Industrial Metal (later),59,83.2,102,2.382e+04,1,0,0,0,0,0,0,0,0,0,0,0,0,17222,2481,168.8,24.32,233.5,0.7231,0.1042,1890,17222,2481,0.1441,0.8014,179.6,5.191,111.2,4.711
1114,Threshold,Progressive Metal,37,89.82,100,3.86e+04,0,0,0,0,0,0,0,0,0,0,1,0,0,24345,2949,243.4,29.49,386,0.6307,0.07639,1894,24345,2949,0.1211,0.791,196.6,5.281,103.8,4.642
390,Graveland,Black Metal (early); Pagan/Viking Metal (later),67,83.67,74,3.778e+04,1,0,0,0,0,0,0,0,0,0,0,0,0,14801,2057,200,27.8,510.6,0.3917,0.05444,1897,14801,2057,0.139,0.7945,412.2,6.022,84.88,4.441
39,Nightwish,Symphonic Power Metal (early); Symphonic Metal (later),155,75.38,78,2.634e+04,0,0,0,0,0,0,0,0,0,1,0,1,0,14336,2396,183.8,30.72,337.7,0.5442,0.09095,1904,14336,2396,0.1671,0.8131,284.9,5.652,102.3,4.628
61,Moonspell,Black Metal (early); Gothic Metal (later),70,79.73,91,2.69e+04,1,0,0,0,0,1,0,0,0,0,0,0,0,13212,2137,145.2,23.48,295.6,0.4911,0.07944,1905,13212,2137,0.1617,0.808,171.8,5.146,108.4,4.686
97,Judas Priest,Heavy Metal,318,77.72,190,5.248e+04,0,0,0,0,0,0,0,1,0,0,0,0,0,30908,3723,162.7,19.59,276.2,0.589,0.07094,1905,30908,3723,0.1205,0.7953,177.3,5.178,123.9,4.819
267,Scanner,Heavy/Power Metal,31,79,50,1.565e+04,0,0,0,0,0,0,0,1,0,1,0,0,0,10604,1972,212.1,39.44,313,0.6775,0.126,1915,10604,1972,0.186,0.8185,269,5.595,134.5,4.902
68,Morbid Angel,Death Metal,206,75.9,89,2.408e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,13492,2369,151.6,26.62,270.5,0.5604,0.0984,1917,13492,2369,0.1756,0.8171,333.7,5.81,108.8,4.69
2332,Insomnium,Melodic Death Metal,70,88.75,61,2.292e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,10507,1954,172.2,32.03,375.8,0.4583,0.08523,1927,10507,1954,0.186,0.8183,407.6,6.01,107.7,4.679
314,Rotting Christ,"Grindcore, Black Metal (early); Gothic Metal (mid); Melodic Black Metal (later)",101,85.33,93,2.708e+04,1,0,0,0,0,1,1,0,0,0,0,0,0,14011,2377,150.7,25.56,291.2,0.5173,0.08777,1931,14011,2377,0.1697,0.8142,184.9,5.22,109.1,4.692
194,Immolation,Death Metal,106,87.4,88,2.376e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,13667,2475,155.3,28.12,270,0.5752,0.1042,1943,13667,2475,0.1811,0.8206,437,6.08,127,4.844
1843,Edenbridge,Symphonic Power Metal,27,82.4,110,3.702e+04,0,0,0,0,0,0,0,0,0,1,0,1,0,19906,2433,181,22.12,336.6,0.5377,0.06572,1948,19906,2433,0.1222,0.7877,306.9,5.726,93,4.533
604,Fates Warning,Power/Progressive Metal (early); Progressive Metal (later),81,83.36,87,3.171e+04,0,0,0,0,0,0,0,0,0,1,1,0,0,14783,2287,169.9,26.29,364.4,0.4662,0.07213,1965,14783,2287,0.1547,0.8056,185.5,5.223,108.3,4.685
10,Arch Enemy,Melodic Death Metal,123,70.7,94,2.561e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,11148,2079,118.6,22.12,272.4,0.4353,0.08119,1978,11148,2079,0.1865,0.8198,266.2,5.584,116.9,4.761
3666,Draconian,Gothic/Doom/Death Metal,42,85.86,61,2.443e+04,0,1,0,1,0,1,0,0,0,0,0,0,0,11810,2184,193.6,35.8,400.5,0.4835,0.08941,1979,11810,2184,0.1849,0.82,345.2,5.844,106.6,4.669
128,Venom,NWOBHM/Black/Speed Metal,107,75.08,135,3.31e+04,1,0,0,0,0,0,0,0,0,0,0,0,0,19142,3174,141.8,23.51,245.2,0.5782,0.09588,1979,19142,3174,0.1658,0.8178,353.7,5.869,132.7,4.888
487,Suidakra,Melodic Death/Black/Folk Metal,49,78.5,96,2.629e+04,1,1,0,0,1,0,0,0,0,0,0,0,0,16049,2577,167.2,26.84,273.8,0.6105,0.09803,1999,16049,2577,0.1606,0.8111,362.8,5.894,112.9,4.727
157,Kreator,Thrash Metal,215,80.36,131,3.475e+04,0,0,0,0,0,0,0,0,0,0,0,0,1,22218,2956,169.6,22.56,265.3,0.6394,0.08507,2032,22218,2956,0.133,0.7985,250.9,5.525,134.5,4.902
7,Entombed,Death Metal/Death 'n' Roll,70,79.25,85,1.89e+04,0,1,0,0,0,0,0,0,0,0,0,0,0,11807,2184,138.9,25.69,222.4,0.6247,0.1155,2036,11807,2184,0.185,0.82,210.2,5.348,112.5,4.723
