id,name,genre,reviews,rating,songs,seconds,genre_black,genre_death,genre_deathcore,genre_doom,genre_folk,genre_gothic,genre_grindcore,genre_heavy,genre_metalcore,genre_power,genre_progressive,genre_symphonic,genre_thrash,word_count,word_count_uniq,words_per_song,words_per_song_uniq,seconds_per_song,word_rate,word_rate_uniq,unique_first_words,N,types,TTR,logTTR,MTLD,logMTLD,vocd-D,logvocd-D
827,The Berzerker,Industrial Death Metal/Grindcore,29,77.4,50,8290,0,1,0,0,0,0,1,0,0,0,0,0,0,10513,1425,210.3,28.5,165.8,1.268,0.1719,1372,10513,1425,0.1355,0.7842,187.5,5.234,98.96,4.595
201,HammerFall,Heavy/Power Metal,96,73.09,103,29300,0,0,0,0,0,0,0,1,0,1,0,0,0,20716,2246,201.1,21.81,284.5,0.707,0.07666,1375,20716,2246,0.1084,0.7765,161.8,5.086,101.9,4.624
943,Loudness,Heavy Metal,32,77.29,97,27400,0,0,0,0,0,0,0,1,0,0,0,0,0,14902,1784,153.6,18.39,282.5,0.5439,0.06511,1376,14902,1784,0.1197,0.7791,150.5,5.014,104.7,4.651
245,Black Label Society,Southern/Groove Metal,30,74.5,95,24013,0,0,0,0,0,0,0,0,0,0,0,0,0,10186,1388,107.2,14.61,252.8,0.4242,0.0578,1378,10186,1388,0.1363,0.784,128.7,4.858,116.3,4.756
32,Rhapsody of Fire,Symphonic Power Metal,38,78.67,55,20447,0,0,0,0,0,0,0,0,0,1,0,1,0,12634,1643,229.7,29.87,371.8,0.6179,0.08035,1384,12634,1643,0.13,0.784,185.1,5.221,118.1,4.771
3540257585,Blaze Bayley,Heavy Metal,30,81.17,63,17877,0,0,0,0,0,0,0,1,0,0,0,0,0,12174,1582,193.2,25.11,283.8,0.681,0.08849,1390,12174,1582,0.1299,0.7831,162.3,5.09,101.1,4.616
3075,Killswitch Engage,Metalcore,71,66.86,73,16380,0,0,0,0,0,0,0,0,1,0,0,0,0,11216,1503,153.6,20.59,224.4,0.6847,0.09176,1397,11216,1503,0.134,0.7845,148.8,5.003,97.35,4.578
1283,All That Remains,Metalcore/Melodic Death Metal (early); Metalcore/Melodic Hard Rock (later),42,55.75,88,20180,0,1,0,0,0,0,0,0,1,0,0,0,0,15783,1770,179.4,20.11,229.3,0.7821,0.08771,1399,15783,1770,0.1121,0.7737,132.9,4.89,106.3,4.666
195,Ozzy Osbourne,Heavy Metal,114,69.1,87,25705,0,0,0,0,0,0,0,1,0,0,0,0,0,17010,1949,195.5,22.4,295.5,0.6617,0.07582,1426,17010,1949,0.1146,0.7776,134.8,4.904,106.3,4.666
544,W.A.S.P.,Heavy Metal/Hard Rock,74,83.33,108,32046,0,0,0,0,0,0,0,1,0,0,0,0,0,19072,1879,176.6,17.4,296.7,0.5951,0.05863,1441,19072,1879,0.09852,0.7649,129.9,4.867,84.96,4.442
